username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-03-06 02:24;0;1;"#ShutDownJNU JNU ko band nhi karna chaiye balki aise log jo naxalwad aur maoism ko support karte hai unko lat marke nikal dena chaiye.";;;#ShutDownJNU;"838492818922487812";https://twitter.com/Singhpiyush29/status/838492818922487812
;2017-03-05 08:29;0;1;"Its March guys plz pay ur Tax we need to feed beggars (Bhikari's) of #JNU for next whole year #shutdownJNU";;;#JNU #shutdownJNU;"838222430309138432";https://twitter.com/jgdaditya/status/838222430309138432
;2017-03-04 22:39;0;0;"in gaddaro ko tax ka paisa bharne se accha h ki black money swis bank bhej do bhale jail ho jaee. #ShutDownJnu";;;#ShutDownJnu;"838073883790094336";https://twitter.com/Rakesh123pandey/status/838073883790094336
;2017-03-04 22:28;0;0;"कर दिया हैं मैने tax जमा गददारों की पढाई के लिये #ShutDownJNU http:// fb.me/QJyL8V7y";;;#ShutDownJNU;"838071116220542978";https://twitter.com/sumitnewdelhi/status/838071116220542978
;2017-03-04 21:37;0;1;"#SakshiMalik मार्च आ गया हैं, IT जमा कर दें भारत तेरे टुकड़े होंगे मांग करने वाले विद्यार्थियों के फीस की सब्सिडी देनी हैं। #SHUTDOWNJNU";;;#SakshiMalik #SHUTDOWNJNU;"838058364613570560";https://twitter.com/1DAYIWILLSHINE/status/838058364613570560
;2017-03-04 19:47;0;2;"Freedom of speech? #ShutDownJNU पिछले साल 9 फरवरी के बाद देश के अंदर छिपे sleeper cells के चेहरे बेनकाब हुए हैं । pic.twitter.com/EOUb8NdsE9";;;#ShutDownJNU;"838030552183767040";https://twitter.com/prbjym/status/838030552183767040
;2017-03-04 13:24;0;0;"#ShutDownJNU . https:// twitter.com/RitaG74/status /837691668786778114 …";;;#ShutDownJNU;"837934241312722944";https://twitter.com/r_Hindu/status/837934241312722944
;2017-03-04 13:10;0;0;"#shutDownJNU";;;#shutDownJNU;"837930821080109056";https://twitter.com/r_Hindu/status/837930821080109056
;2017-03-04 12:30;1;1;"@AnjuNagarajan ये सब करते इनके बाल पक जाते है, पर ना रिसर्च पूरा होता है, न डिग्री मिलती है । #shutdownJNU @SV99999 @ravibhadoria https:// twitter.com/AnjuNagarajan/ status/837620209682903040 …";;@AnjuNagarajan @SV99999 @ravibhadoria;#shutdownJNU;"837920645765726208";https://twitter.com/Ramesh_hjs/status/837920645765726208
;2017-03-04 11:56;0;1;"@TimesNow #ShutDownJNU #JwaharRedUniversity is a Bunch of Intellectual Maoist Communist nd threat for d Country Peace";;@TimesNow;#ShutDownJNU #JwaharRedUniversity;"837912066157506561";https://twitter.com/amiivg/status/837912066157506561
;2017-03-04 11:39;1;1;"@PMOIndia @manoharparrikar @PTI_News @aajtak Is every Indian paying for this #ShutdownJNU pic.twitter.com/zkkSSHiIf5";;@PMOIndia @manoharparrikar @PTI_News @aajtak;#ShutdownJNU;"837907895274491904";https://twitter.com/dixitravikumar/status/837907895274491904
;2017-03-04 11:36;0;0;"if you think you can just keep quite @RashtrapatiBhvn @PMOIndia @HRDMinistry its shame on you , just #ShutDownJNU";;@RashtrapatiBhvn @PMOIndia @HRDMinistry;#ShutDownJNU;"837907018526535681";https://twitter.com/IntrntHindu/status/837907018526535681
;2017-03-04 11:35;0;0;"@PMOIndia @manoharparrikar @aajtak @SupremeCourtFan r v paying for this Pl take strict action #SHUTDOWNJNU pic.twitter.com/0WPlKMsffM";;@PMOIndia @manoharparrikar @aajtak @SupremeCourtFan;#SHUTDOWNJNU;"837906801647497217";https://twitter.com/dixitravikumar/status/837906801647497217
