source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url,external_link
Kunal Kamra,,2020-01-31 13:52:35,Thoda emotional ho jata hoon kabhi kabhi...Sometimes I become a bit emotional...,66K,45K,11K,9.8K,288,81,11,2075,1298536757005506,/story.php?story_fbid=1298536757005506&id=370949839764207,
Kunal Kamra,,2020-01-31 12:44:26,"I found arnab’s number I’m still asking him for a debate and he’s just not responding,  Republic is your editor a coward or a nationalist?",51K,30K,16K,4.6K,139,7,15,2262,1298429363682912,/story.php?story_fbid=1298429363682912&id=370949839764207,
Kunal Kamra,,2020-01-30 16:18:20,Sorry for not being sorry...,98K,54K,30K,12K,240,23,43,3616,1297587117100470,/story.php?story_fbid=1297587117100470&id=370949839764207,
Kunal Kamra,,2020-01-30 14:20:44,😭😭😭,75K,28K,44K,1.4K,140,81,19,2064,1297445477114634,/story.php?story_fbid=1297445477114634&id=370949839764207,
Kunal Kamra,,2020-01-29 18:32:23,"This video explains my side of the story, created by my best half Official PeeingHuman. The emotions did of course get the better of me. But if I didn’t emote, I’d never be able to forgive myself.",Jude Anthany Joseph and 73K others,49K,12K,9.3K,190,1.5K,221,4609,1296692200523295,/story.php?story_fbid=1296692200523295&id=370949839764207,
Kunal Kamra,,2020-01-28 18:18:04,"To all the journalists calling me here’s my statement on what happened.  Today I met Arnab Goswami in a flight to Lucknow (6E 5317), and politely asked him to have a conversation. At first, he pretended to be  on a phone call. I waited for his so called phone call to get over. Seatbelt signs were off at this time. I gave him a monologue about what I felt about his ""journalism"". He refused to answer any questions, he called me 'mentally unstable'. The stewardess asked me to take my seat as the seatbelt signs had just come on. Post Take off, when the seatbelt signs were off again, I approached him again and asked him if I could have his attention.  He said he is watching something, and he doesn't want to talk. So then I did exactly what Republic TV journalists do to people  in their private/public spaces, and I don't regret it. I am not sorry for it.  The moment the stewardess asked me to move, I went back to my seat in 20 seconds. I apologised to each crew member personally  and to both the pilots, by staying back till the end, for any inconvenience that I might have caused during the flight. I don't think I did anything wrong/criminal. Don't let this be about my bravado. Let us all take a moment and fondly remember a smiling Rohith vemula I do apologise to every passenger except one.",Jude Anthany Joseph and 62K others,45K,2.4K,13K,249,17,79,4892,1295682427290939,/story.php?story_fbid=1295682427290939&id=370949839764207,
Kunal Kamra,,2020-01-28 16:25:50,I did it for my hero... I did it for Rohit,Kunal Kamra and 86K others,48K,23K,14K,497,73,292,9124,1295584480634067,/story.php?story_fbid=1295584480634067&id=370949839764207,
"Kunal Kamra,Official PeeingHuman",Official PeeingHuman,2020-01-22 18:40:03,"Expectations vs Reality of BJPPrime example of how BJP is not just anti-muslim, BJP is anti-poor. #Bangalore #NRC #peeingshorts",5.2K,3.9K,624,36,13,203,381,214,1292083437650838,/story.php?story_fbid=1292083437650838&id=370949839764207,
CurtainCall Productions and Events,,2020-01-21 19:00:01,,11,9,1,1,,,,,189251775801723,/events/189251775801723?view=permalink&id=209001813826719,
That Comedy Club,,2020-01-21 19:00:01,,450,407,27,12,1,,3,30,606578780172669,/events/606578780172669?view=permalink&id=607530743410806,
"Kunal Kamra,Official PeeingHuman",Official PeeingHuman,2020-01-19 20:55:07,Full Marx to Kanhaiya and peeing human for thisKanhaiya Kumar explains CAA-NRC-NPR | कन्हैया कुमार से समझिये CAA-NRC- NPR का पूरा सच #PeeingOriginals #KanhaiyaKumar #CAA #NRC #NPR,8.7K,7.1K,612,900,54,7,10,318,1289554037903778,/story.php?story_fbid=1289554037903778&id=370949839764207,
"Kunal Kamra,Pseudo Bongs",,2020-01-21 02:57:16,Please don't send me such things in DM,369,345,7,15,1,,1,46,768246153667904,/events/768246153667904?view=permalink&id=768246167001236,
Kunal Kamra,,2020-01-20 20:13:26,Who did this? 😂😂😂,67K,23K,42K,872,228,146,265,5417,1288893384636510,/story.php?story_fbid=1288893384636510&id=370949839764207,
"Kunal Kamra,Official PeeingHuman",Official PeeingHuman,2020-01-17 10:34:49,"BJP is to unity & integrity of India, what dick pics are to dating apps.One basic difference between : Anti CAA-NRC protests vs Pro CAA-NRC protests #peeingshorts #ShaheenBagh #IndiaAgainstCAA_NRC",4.4K,3.5K,470,424,12,8,3,135,1287065378152644,/story.php?story_fbid=1287065378152644&id=370949839764207,
Kunal Kamra,,2020-01-17 12:13:20,,250,221,11,16,1,,1,22,106959064073143,/events/106959064073143?view=permalink&id=106959067406476,
